Rd,Fase,Grupo,Data,Hora,Estádio,Mandante,CAM,VIM,VDM,AVM,GM,X,GV,CAV,VIV,VDV,AVV,Visitante,PCM,PCV,TCAM,TCVM,TCAV,TCVV,PM,PV,Informações
1,Primeira Fase,GrupoA,11/06/2026,16:00,Estádio Azteca,México,,,,,,x,,,,,,África do Sul,,,,,,,,,
1,Primeira Fase,GrupoA,11/06/2026,23:00,Estádio Akron,Coreia do Sul,,,,,,x,,,,,,República Tcheca,,,,,,,,,
1,Primeira Fase,GrupoB,12/06/2026,16:00,Toronto Field,Canadá,,,,,,x,,,,,,Bósnia e Herzegovina,,,,,,,,,
1,Primeira Fase,GrupoB,13/06/2026,16:00,Santa Clara,Catar,,,,,,x,,,,,,Suíça,,,,,,,,,
1,Primeira Fase,GrupoC,13/06/2026,19:00,MetLife Stadium,Brasil,,,,,,x,,,,,,Marrocos,,,,,,,,,
1,Primeira Fase,GrupoC,13/06/2026,22:00,Gillette Stadium,Haiti,,,,,,x,,,,,,Escócia,,,,,,,,,
1,Primeira Fase,GrupoD,12/06/2026,22:00,Los Angeles,Estados Unidos,,,,,,x,,,,,,Paraguai,,,,,,,,,
1,Primeira Fase,GrupoD,14/06/2026,01:00,BC Place,Austrália,,,,,,x,,,,,,Turquia,,,,,,,,,
1,Primeira Fase,GrupoE,14/06/2026,14:00,NRG Stadium,Alemanha,,,,,,x,,,,,,Curaçao,,,,,,,,,
1,Primeira Fase,GrupoE,14/06/2026,20:00,Lincoln Financial Field,Costa do Marfim,,,,,,x,,,,,,Equador,,,,,,,,,
1,Primeira Fase,GrupoF,14/06/2026,17:00,AT&T Stadium,Holanda,,,,,,x,,,,,,Japão,,,,,,,,,
1,Primeira Fase,GrupoF,14/06/2026,23:00,Estádio BBVA,Suécia,,,,,,x,,,,,,Tunísia,,,,,,,,,
1,Primeira Fase,GrupoG,15/06/2026,16:00,Lumen Field,Bélgica,,,,,,x,,,,,,Egito,,,,,,,,,
1,Primeira Fase,GrupoG,15/06/2026,22:00,SoFi Stadium,Irã,,,,,,x,,,,,,Nova Zelândia,,,,,,,,,
